#{"t_start": 1721471719.0888896, "env_id": "None"}
r,l,t
-9.502464,1,0.056048
-7.548021,1,0.098703
-13.61992,5,0.303056
-11.43921,1,0.343756
-15.111784,4,0.50644
-10.190439,1,0.547116
-10.190439,1,0.58981
-25.791841,27,1.689836
-33.92521,10,2.099012
-10.676607,1,2.139713
-11.123654,4,2.303392
-11.930249,2,2.384245
-8.933746,2,2.466577
-12.254673,4,2.630674
-11.752628,2,2.711523
-13.530925,2,2.793365
-11.376431,1,2.83503
-10.184698,5,3.04131
-11.376431,1,3.081982
-10.190439,1,3.12315
-14.016189,2,3.204865
-17.203746,5,3.408721
-19.108086,27,4.699651
-17.045784,5,4.904003
-20.436217,5,5.111331
-20.263114,18,5.936706
-25.159944,27,7.039808
-10.691401,1,7.080452
-7.548021,1,7.121124
-17.066227,4,7.284336
-11.43921,1,7.324512
-18.23711,3,7.447491
-12.582579,2,7.528864
-20.756866,9,7.89789
-27.95573,17,8.633165
-11.43921,1,8.673837
-26.821475,16,9.328097
-14.783064,5,9.532436
-11.668567,3,9.65443
-11.726572,2,9.736298
-8.478641,2,9.818137
-8.303567,1,9.859277
-18.610911,7,10.145989
-8.478641,2,10.227333
-12.129316,2,10.309179
-18.372238,6,10.554201
-14.783064,5,10.759049
-11.43921,1,10.80019
-11.376431,1,10.930811
-11.930249,2,11.012651
-14.145852,5,11.220944
-14.148226,13,11.750703
-10.190439,1,11.791352
-11.726572,2,11.873215
-15.060412,7,12.157419
-11.43921,1,12.19856
-10.676607,1,12.239758
-10.190439,1,12.280399
-15.578378,3,12.405392
-8.303567,1,12.44656
-14.947843,15,13.086386
-16.146496,5,13.292704
-13.534032,4,13.455417
-19.116298,5,13.660267
-11.930249,2,13.742108
-10.676607,1,13.782779
-21.565767,9,14.153585
-10.676607,1,14.19423
-25.00355,11,14.643137
-17.172814,8,14.969996
-14.221028,3,15.095957
-10.190439,1,15.137125
-27.291587,23,16.076054
-17.790794,16,16.821625
-5.22784,12,17.338804
-10.676607,1,17.382452
-11.752628,2,17.463797
-9.502464,1,17.504468
-12.227576,8,17.830837
-10.676607,1,17.871509
-14.419356,5,18.074869
-10.190439,1,18.116037
-7.548021,1,18.157205
-22.888398,12,18.649706
-10.628136,2,18.730554
-15.861972,4,18.893243
-12.396552,6,19.137794
-10.691401,1,19.17847
-9.502464,1,19.219611
-16.518135,5,19.42647
-7.422033,15,20.036552
-7.548021,1,20.077714
-15.156995,2,20.159556
-15.861972,4,20.322766
-12.250894,16,20.979885
-26.255063,18,21.858377
-17.083302,8,22.1862
-10.691401,1,22.227368
-10.691401,1,22.268536
-10.190439,1,22.309732
-8.0145,9,22.677769
-12.312379,3,22.80124
-10.190439,1,22.842408
-9.502464,1,22.883108
-25.689012,15,23.498121
-13.916162,5,23.7025
-7.548021,1,23.743168
-10.691401,1,23.783845
-12.582579,2,23.865685
-9.502464,1,23.908809
-9.502464,1,23.949481
-11.43921,1,23.990648
-26.801453,15,24.602217
-8.303567,1,24.642917
-10.190439,1,24.684581
-8.303567,1,24.725225
-10.276747,10,25.135913
-11.43921,1,25.176117
-14.421928,3,25.362089
-29.047622,17,26.057013
-10.691401,1,26.100661
-15.476861,6,26.345682
-27.682146,27,27.540551
-13.986112,3,27.663563
-10.190439,1,27.705198
-10.190439,1,27.745902
-17.858436,6,27.990923
-8.012107,4,28.153583
-6.945553,10,28.563776
-13.362344,4,28.72696
-25.782819,5,28.932376
-10.676607,1,28.973544
-19.026185,15,29.641535
-17.048174,3,29.764069
-10.190439,1,29.805215
-9.04667,4,29.969693
-13.530925,2,30.050018
-7.068223,3,30.17256
-9.502464,1,30.213696
-16.994495,25,31.237046
-9.502464,1,31.278206
-11.668567,3,31.400722
-10.691401,1,31.442358
-10.691401,1,31.48355
-15.156995,2,31.565367
-17.050704,8,31.890779
-10.190439,1,31.931916
-10.628136,2,32.013255
-10.676607,1,32.053943
-10.190439,1,32.095122
-7.548021,1,32.135795
-14.316126,7,32.513218
-10.691401,1,32.554883
-8.303567,1,32.595554
-11.726572,2,32.677394
-14.570482,8,33.006242
-11.381504,2,33.088078
-9.502464,1,33.128748
-12.254673,4,33.291928
-13.530925,2,33.373249
-10.676607,1,33.414171
-10.676607,1,33.455312
-8.478641,2,33.537175
-4.945973,12,34.08115
-7.548021,1,34.121822
-10.851875,3,34.245822
-17.547393,12,34.74083
-19.618731,13,35.270222
-10.691401,1,35.310894
-21.531821,5,35.514776
-14.164833,4,35.681434
-9.502464,1,35.722106
-14.646095,4,35.885758
-14.395275,10,36.293498
-9.502464,1,36.334174
-13.409955,4,36.497327
-8.388833,3,36.621822
-10.676607,1,36.662524
-8.303567,1,36.703194
-11.758561,2,36.785007
-11.726572,2,36.86685
-11.381504,2,36.948714
-4.15565,17,37.641333
-10.190439,1,37.682006
-0.851912,6,38.073322
-10.488291,10,38.483543
-10.676607,1,38.524682
-24.765386,16,39.178432
-13.370709,9,39.548428
-7.548021,1,39.5891
-8.303567,1,39.630291
-11.376431,1,39.671435
-14.253981,8,39.999788
-9.502464,1,40.040483
-10.676607,1,40.081659
-9.502464,1,40.121804
-4.642375,11,40.572668
-11.43921,1,40.613863
-11.43921,1,40.654537
-11.752628,2,40.738332
-15.05317,7,41.023035
-13.778103,21,41.884588
-9.502464,1,41.925778
-10.190439,1,41.966925
-16.717202,5,42.222928
-14.942474,4,42.38562
-10.691401,1,42.426791
-10.851875,3,42.549796
-21.019716,18,43.379328
-8.388833,3,43.501839
-4.506139,7,43.786597
-1.943115,7,44.072785
-13.649119,14,44.645146
-10.32285,13,45.174407
-12.17225,2,45.259195
-11.176542,16,45.911959
-8.388833,3,46.034443
-10.691401,1,46.074649
-16.924281,7,46.360342
-12.447433,6,46.65867
-7.548021,1,46.699342
-9.502464,1,46.740014
-15.156995,2,46.821877
-18.917959,4,46.986053
-11.381504,2,47.067897
-8.303567,1,47.10807
-11.376431,1,47.148717
-12.582579,2,47.230581
-10.190439,1,47.271257
-7.548021,1,47.31193
-9.502464,1,47.352593
-1.40573,7,47.637302
-7.068223,3,47.759295
-0.4936,5,47.964656
-7.548021,1,48.005817
-17.052087,6,48.250831
-10.190439,1,48.292022
-11.376431,1,48.33267
-7.040277,12,48.913824
-14.421928,3,49.036822
-1.52326,7,49.323988
-2.208461,8,49.650847
-1.90855,6,49.89587
-3.275912,8,50.224222
-4.844367,9,50.59129
-1.142251,6,50.889185
-10.676607,1,50.929361
-11.43921,1,50.97053
-10.676607,1,51.011202
-1.145146,7,51.297876
-8.478641,2,51.379717
-8.059698,6,51.625261
-2.14213,7,51.910961
-3.226009,27,53.014561
0.198053,5,53.217899
-8.303567,1,53.25857
-9.04667,4,53.422743
-4.981317,7,53.709955
-7.548021,1,53.751095
-9.514903,9,54.20843
-3.605827,27,55.364087
-2.185591,27,56.466722
-7.068223,3,56.589236
-7.068223,3,56.711748
0.254243,5,56.916513
-8.397756,7,57.202217
-0.4936,5,57.40853
-8.319039,18,58.142138
-2.118991,6,58.390142
-1.13501,5,58.594963
-8.012107,4,58.75867
-10.334837,5,58.962004
0.198053,5,59.219426
0.254243,5,59.516011
1.761132,27,60.6221
-0.4936,5,60.825933
-1.13501,5,61.029817
0.198053,5,61.233644
-1.544653,7,61.519369
-15.911217,7,61.807518
-1.655556,6,62.052072
-1.317528,6,62.297566
-1.473885,7,62.587258
-8.933746,2,62.669094
0.198053,5,62.872462
-0.4936,5,63.076286
0.254243,5,63.33123
0.254243,5,63.535583
-4.415888,8,63.863935
-0.4936,5,64.069306
-1.13501,5,64.272639
0.198053,5,64.477022
-1.13501,5,64.681457
0.254243,5,64.977072
0.178908,7,65.264257
-1.003734,6,65.509281
-7.532865,27,66.61437
-7.068223,3,66.736385
8.620003,27,67.90782
0.254243,5,68.111708
-1.655556,6,68.356732
-0.654274,6,68.60521
-3.303686,27,69.709305
5.580492,27,70.904548
-5.853221,12,71.39359
-0.4936,5,71.597418
5.831346,27,72.752022
0.198053,5,72.956442
0.198053,5,73.160294
11.607208,27,74.265309
-0.4936,5,74.46867
0.198053,5,74.673065
-8.377577,8,74.999429
2.852749,27,76.24806
-7.548021,1,76.289236
-1.13501,5,76.493108
-9.502464,1,76.533756
-0.4936,5,76.738632
0.198053,5,76.943475
-10.190439,1,76.984648
0.254243,5,77.188006
3.816314,27,78.290999
0.198053,5,78.495375
-0.4936,5,78.699727
0.254243,5,78.90703
-4.117728,7,79.193718
-0.851912,6,79.43877
-1.13501,5,79.643096
-3.571506,6,79.890627
-0.4936,5,80.145543
1.269957,27,81.342888
-10.691401,1,81.383065
-0.4936,5,81.587937
-0.4936,5,81.792281
-0.4936,5,81.996617
0.254243,5,82.200473
-1.13501,5,82.4078
12.831442,27,83.511925
1.269957,27,84.668996
0.254243,5,84.873844
-0.871729,6,85.120769
-0.4936,5,85.324152
0.254243,5,85.529007
12.831442,27,86.724037
-0.4936,5,86.928858
0.254243,5,87.133238
0.198053,5,87.337098
0.254243,5,87.540956
-1.13501,5,87.747257
2.852749,27,88.905283
0.198053,5,89.108619
0.254243,5,89.313467
12.831442,27,90.417044
-0.4936,5,90.620899
0.198053,5,90.827235
0.198053,5,91.031091
6.265642,27,92.221514
0.198053,5,92.426362
0.254243,5,92.632703
2.852749,27,93.792349
0.254243,5,93.996677
-0.4936,5,94.19957
-1.13501,5,94.402915
10.711544,27,95.505509
-1.13501,5,95.711349
-1.13501,5,95.915232
2.852749,27,97.069344
0.254243,5,97.364465
12.831442,27,98.469043
-1.13501,5,98.673402
-1.13501,5,98.877748
12.831442,27,99.98036
-6.109252,11,100.430204
12.831442,27,101.59115
-7.068223,3,101.713662
-0.4936,5,101.918511
-0.4936,5,102.122312
0.254243,5,102.326145
-1.13501,5,102.619853
-1.13501,5,102.823214
0.254243,5,103.030021
-0.853461,6,103.275514
0.198053,5,103.479901
0.198053,5,103.683254
0.254243,5,103.891573
0.254243,5,104.09543
-1.13501,5,104.299258
0.254243,5,104.503142
-0.4936,5,104.707499
0.254243,5,104.911841
0.254243,5,105.117186
0.254243,5,105.321537
0.254243,5,105.578939
-1.13501,5,105.783291
-1.13501,5,105.987146
-0.4936,5,106.19301
-0.4936,5,106.396868
2.852749,27,107.499976
12.831442,27,108.687868
-1.13501,5,108.892249
-0.4936,5,109.09908
12.831442,27,110.250792
-1.13501,5,110.458616
8.722205,27,111.561717
0.198053,5,111.76803
-0.4936,5,111.971897
0.198053,5,112.177258
-1.13501,5,112.382078
-0.4936,5,112.586926
0.254243,5,112.790296
12.831442,27,114.041969
-1.13501,5,114.249897
-1.13501,5,114.453726
2.852749,27,115.556334
-1.13501,5,115.76071
12.831442,27,116.862798
12.831442,27,117.966896
0.254243,5,118.225311
2.852749,27,119.42116
-0.4936,5,119.626014
-0.4936,5,119.831853
-1.13501,5,120.036674
12.831442,27,121.141761
-1.13501,5,121.345641
0.198053,5,121.54997
0.198053,5,121.757299
2.852749,27,122.909817
-1.13501,5,123.117173
0.198053,5,123.322023
0.198053,5,123.526346
0.198053,5,123.730225
2.852749,27,124.92563
0.198053,5,125.12935
0.198053,5,125.335687
0.198053,5,125.540512
0.254243,5,125.744878
-0.4936,5,125.948247
-0.4936,5,126.152114
0.254243,5,126.357424
-0.4936,5,126.614364
0.254243,5,126.818715
0.198053,5,127.022102
12.831442,27,128.127659
1.269957,27,129.231779
-0.4936,5,129.436134
-1.13501,5,129.732295
-0.4936,5,129.938134
0.254243,5,130.141925
-4.573066,17,130.889396
-1.13501,5,131.095733
0.254243,5,131.299613
-0.4936,5,131.503473
2.852749,27,132.607046
-0.4936,5,132.811516
12.831442,27,133.914061
2.852749,27,135.160457
0.198053,5,135.364809
7.091731,27,136.468495
0.198053,5,136.677279
-1.13501,5,136.881164
-0.522432,6,137.125198
0.198053,5,137.329048
12.831442,27,138.432653
12.831442,27,139.588305
0.198053,5,139.792681
12.831442,27,140.989041
-8.303567,1,141.030206
-0.4936,5,141.235057
-1.13501,5,141.440865
0.198053,5,141.645217
0.254243,5,141.850067
-0.4936,5,142.054446
0.254243,5,142.258275
0.198053,5,142.464634
0.198053,5,142.668987
-5.005229,4,142.832175
12.831442,27,143.988323
12.831442,27,145.091924
-0.4936,5,145.296285
12.831442,27,146.492872
-0.4936,5,146.695741
-1.13501,5,146.902568
-1.13501,5,147.106397
2.852749,27,148.264557
12.831442,27,149.369647
0.254243,5,149.574521
0.198053,5,149.778871
0.254243,5,149.984716
2.852749,27,151.17937
8.72944,27,152.331697
2.852749,27,153.435386
0.254243,5,153.642685
-1.13501,5,153.847066
0.254243,5,154.050426
-8.478641,2,154.131742
-0.4936,5,154.335597
0.198053,5,154.540474
2.852749,27,155.644311
0.254243,5,155.850647
12.831442,27,157.098597
12.831442,27,158.199745
-7.645438,5,158.404592
0.254243,5,158.609445
-0.4936,5,158.812801
0.254243,5,159.018613
-1.13501,5,159.22247
12.831442,27,160.378444
2.852749,27,161.481054
-0.4936,5,161.68593
-1.13501,5,161.980113
0.254243,5,162.186857
2.852749,27,163.290434
0.254243,5,163.493794
0.254243,5,163.698147
0.254243,5,163.902031
-1.13501,5,164.105858
1.769178,27,165.266002
-0.4936,5,165.469381
12.831442,27,166.572989
0.254243,5,166.777344
12.831442,27,167.970647
-0.4936,5,168.173981
-0.4936,5,168.378363
-1.13501,5,168.582686
-0.4936,5,168.838125
-1.13501,5,169.042478
-1.13501,5,169.247351
2.852749,27,170.348941
12.831442,27,171.458494
-1.13501,5,171.661879
0.198053,5,171.866207
0.254243,5,172.070559
-0.4936,5,172.276427
12.831442,27,173.520252
2.852749,27,174.622337
2.852749,27,175.724969
12.831442,27,176.828614
-1.13501,5,177.087957
0.254243,5,177.294293
2.852749,27,178.488229
-1.13501,5,178.694565
0.198053,5,178.89843
0.198053,5,179.101808
12.831442,27,180.205908
12.831442,27,181.362074
2.852749,27,182.470637
-0.4936,5,182.677474
-0.4936,5,182.881798
12.831442,27,184.075198
12.831442,27,185.178807
0.198053,5,185.383645
-1.13501,5,185.640635
10.711544,27,186.741751
0.254243,5,186.946042
12.831442,27,188.049142
0.198053,5,188.252478
2.852749,27,189.449229
-1.13501,5,189.653548
0.254243,5,189.914425
-0.4936,5,190.11817
-1.13501,5,190.322523
12.831442,27,191.425622
12.831442,27,192.528728
12.831442,27,193.632799
2.852749,27,194.88067
-0.4936,5,195.084091
12.831442,27,196.188188
0.198053,5,196.392563
-1.13501,5,196.596892
2.852749,27,197.70001
-1.13501,5,197.903878
0.198053,5,198.162196
2.852749,27,199.26684
2.852749,27,200.457865
-0.4936,5,200.661716
2.852749,27,201.7678
12.831442,27,202.91883
2.852749,27,204.026337
0.254243,5,204.230689
0.198053,5,204.435047
0.198053,5,204.638901
2.852749,27,205.835714
0.254243,5,206.039047
0.254243,5,206.241942
12.831442,27,207.403543
-1.13501,5,207.607399
-1.13501,5,207.811779
0.254243,5,208.015111
2.852749,27,209.118743
0.198053,5,209.322072
-1.13501,5,209.526457
2.852749,27,210.725234
0.198053,5,210.983151
-1.13501,5,211.185988
-0.4936,5,211.390859
0.254243,5,211.595215
2.852749,27,212.699718
-1.13501,5,212.903574
0.254243,5,213.109938
0.198053,5,213.31429
0.254243,5,213.518639
2.852749,27,214.622378
0.254243,5,214.826233
2.852749,27,216.070694
2.852749,27,217.175291
2.852749,27,218.280866
0.198053,5,218.483718
0.254243,5,218.688072
-1.13501,5,218.892915
0.254243,5,219.098732
12.831442,27,220.254908
2.852749,27,221.451627
12.831442,27,222.556743
12.831442,27,223.714322
12.831442,27,224.818851
4.225741,27,225.920469
0.198053,5,226.1238
0.198053,5,226.327636
0.198053,5,226.623788
-0.4936,5,226.827148
-0.4936,5,227.031001
12.831442,27,228.194553
-0.4936,5,228.399429
0.198053,5,228.60329
0.254243,5,228.810118
-0.4936,5,229.013974
12.831442,27,230.117079
-0.4936,5,230.319443
0.198053,5,230.523794
12.831442,27,231.628387
-1.13501,5,231.884826
-0.4936,5,232.178894
-0.4936,5,232.382226
-0.4936,5,232.587572
12.831442,27,233.692659
-0.4936,5,233.897011
-0.4936,5,234.100867
-1.13501,5,234.304239
12.831442,27,235.406863
-1.13501,5,235.611188
0.254243,5,235.815054
2.852749,27,236.974644
-1.13501,5,237.180126
12.831442,27,238.37655
-0.4936,5,238.580927
0.254243,5,238.785277
-0.4936,5,238.989142
-1.13501,5,239.192474
0.198053,5,239.398841
0.198053,5,239.601711
-0.4936,5,239.806058
0.254243,5,240.010387
12.831442,27,241.168665
0.254243,5,241.377941
0.254243,5,241.581324
0.254243,5,241.785167
-0.4936,5,241.988547
2.852749,27,243.182431
-0.4936,5,243.385791
0.198053,5,243.589794
-0.4936,5,243.793651
0.198053,5,243.999544
0.198053,5,244.204369
-0.4936,5,244.410735
2.852749,27,245.569362
12.831442,27,246.671498
12.831442,27,247.771134
0.254243,5,247.975482
0.254243,5,248.270083
12.831442,27,249.427703
-1.13501,5,249.63155
0.254243,5,249.8369
0.254243,5,250.041724
-1.13501,5,250.247096
0.254243,5,250.451941
-1.13501,5,250.658252
0.254243,5,250.86362
2.852749,27,251.967692
-0.4936,5,252.173065
0.198053,5,252.377414
2.852749,27,253.623367
12.831442,27,254.728927
0.254243,5,254.932771
-1.13501,5,255.139607
2.852749,27,256.244375
-0.977661,6,256.488899
0.198053,5,256.693766
-0.4936,5,256.897084
-0.4936,5,257.154521
0.254243,5,257.359685
0.254243,5,257.563567
2.852749,27,258.670162
0.540897,27,259.864453
-1.13501,5,260.068828
-0.4936,5,260.272165
-0.4936,5,260.476517
0.254243,5,260.682358
0.198053,5,260.886244
0.540897,27,262.037453
-0.4936,5,262.243798
0.198053,5,262.44815
0.198053,5,262.651974
0.254243,5,262.854837
-0.4936,5,263.060182
-0.4936,5,263.266518
-1.13501,5,263.47087
2.852749,27,264.665309
0.198053,5,264.869673
12.831442,27,266.023865
12.831442,27,267.127935
12.831442,27,268.231038
0.198053,5,268.435423
-0.4936,5,268.639771
12.831442,27,269.892265
0.254243,5,270.09962
12.831442,27,271.205119
0.254243,5,271.410462
12.831442,27,272.513048
0.254243,5,272.717427
0.254243,5,272.920761
0.198053,5,273.126628
12.831442,27,274.280429
-0.4936,5,274.486737
0.254243,5,274.690405
12.831442,27,275.887707
0.254243,5,276.091599
12.831442,27,277.19567
-1.13501,5,277.400046
-0.4936,5,277.604373
0.198053,5,277.809718
2.852749,27,278.965797
-0.4936,5,279.170692
12.831442,27,280.27622
12.831442,27,281.478899
-0.4936,5,281.684711
0.254243,5,281.888567
2.852749,27,283.04578
0.198053,5,283.24914
12.831442,27,284.352272
2.852749,27,285.455872
-0.4936,5,285.659728
12.831442,27,286.907837
12.831442,27,288.012901
0.198053,5,288.217273
-1.13501,5,288.421625
0.254243,5,288.627933
-1.13501,5,288.832781
0.254243,5,289.038126
0.254243,5,289.241982
2.852749,27,290.346106
12.831442,27,291.594015
0.198053,5,291.797903
10.711544,27,292.902983
-1.13501,5,293.109809
12.831442,27,294.212895
-0.4936,5,294.417744
0.254243,5,294.622123
0.254243,5,294.827964
12.831442,27,295.98311
10.711544,27,297.184724
0.254243,5,297.389079
-0.4936,5,297.592934
-0.4936,5,297.797312
0.254243,5,298.002161
-1.13501,5,298.207502
-0.4936,5,298.411865
0.254243,5,298.61519
-1.13501,5,298.819046
-1.13501,5,299.023399
2.852749,27,300.178609
0.198053,5,300.384448
0.254243,5,300.589299
0.198053,5,300.794615
12.831442,27,301.897352
2.852749,27,303.095165
12.831442,27,304.252334
0.254243,5,304.456213
0.254243,5,304.661066
2.852749,27,305.764166
-1.13501,5,305.968494
-0.4936,5,306.173839
-0.4936,5,306.377729
0.254243,5,306.582575
0.198053,5,306.786895
-1.13501,5,306.993258
12.831442,27,308.234747
0.254243,5,308.439095
-1.13501,5,308.641958
0.198053,5,308.848768
0.198053,5,309.05364
0.254243,5,309.257472
2.852749,27,310.359854
2.852749,27,311.46147
0.198053,5,311.667282
0.198053,5,311.922931
12.831442,27,313.117322
0.198053,5,313.322168
12.831442,27,314.428228
12.831442,27,315.534826
-8.303567,1,315.575495
-0.4936,5,315.779356
0.254243,5,315.983214
-0.4936,5,316.238623
0.254243,5,316.442479
-1.13501,5,316.646831
-1.13501,5,316.853167
0.198053,5,317.058039
12.831442,27,318.160651
-1.13501,5,318.455674
-0.4936,5,318.660002
12.831442,27,319.767039
2.852749,27,320.923159
-0.4936,5,321.128535
2.852749,27,322.233061
2.852749,27,323.335643
-0.4936,5,323.542007
2.852749,27,324.786961
-1.13501,5,324.993793
-1.13501,5,325.198831
-1.13501,5,325.40467
0.198053,5,325.608554
12.831442,27,326.712651
0.198053,5,326.916509
-1.13501,5,327.121327
-1.13501,5,327.325702
0.198053,5,327.530031
-0.4936,5,327.734907
-0.4936,5,327.941737
-0.4936,5,328.145593
-0.4936,5,328.350441
-1.13501,5,328.554795
-0.4936,5,328.809711
0.198053,5,329.016069
2.852749,27,330.209651
0.198053,5,330.416534
2.852749,27,331.520987
-1.13501,5,331.72534
-0.4936,5,331.930211
0.198053,5,332.134044
-0.4936,5,332.3379
0.254243,5,332.544735
2.852749,27,333.703458
12.831442,27,334.899338
12.831442,27,336.001428
-0.4936,5,336.205284
12.831442,27,337.363504
0.254243,5,337.56736
-1.13501,5,337.771221
0.254243,5,337.977965
12.831442,27,339.084571
12.831442,27,340.282087
0.198053,5,340.485913
-4.829097,16,341.141625
-0.4936,5,341.346483
0.198053,5,341.601833
12.831442,27,342.705911
0.198053,5,342.910786
-1.13501,5,343.116621
0.198053,5,343.320978
-1.13501,5,343.524832
0.198053,5,343.729683
-1.13501,5,343.936019
12.831442,27,345.036615
2.852749,27,346.290532
-1.13501,5,346.495849
0.254243,5,346.699208
0.254243,5,346.90406
2.852749,27,348.009339
-0.4936,5,348.215676
-1.13501,5,348.419064
12.831442,27,349.523516
-0.4936,5,349.726876
2.852749,27,350.974898
-1.13501,5,351.180851
2.852749,27,352.285975
-0.4936,5,352.490314
0.254243,5,352.69665
12.831442,27,353.799732
12.831442,27,354.960201
2.852749,27,356.157119
-0.4936,5,356.360552
2.852749,27,357.465145
0.198053,5,357.670498
0.198053,5,357.876352
12.831442,27,359.030022
0.198053,5,359.236852
0.254243,5,359.440213
0.198053,5,359.645555
-1.13501,5,359.849385
2.852749,27,360.956481
